title,body,status,labels
[BE-101]配置 MongoDB Atlas 與基礎 Collections,"[基礎設施: MongoDB / Go]設計並建置 MongoDB Atlas 的 Management 與 Operations 集合，包含員工 (Users, Roles) 與庫存 (SKUs, Inventories)。

**驗收標準 (Acceptance Criteria):**
- 完成 MongoDB Migration 腳本或建立必要的 Index (如 Unique Index)，無報錯執行。
- 完成關聯設計 (利用 ObjectId 參照如 `inventory_id` 對應 `sku_id`)。",Todo,"phase-1,backend"
[BE-102]實作 Backend-Shared-Contract,"[程式庫: Backend-Shared-Contract (Go)]在獨立 Repository 定義全域使用的 Enums (如訂單狀態碼、角色列舉)、DTOs (Data Transfer Objects)。

**驗收標準 (Acceptance Criteria):**
- 完成 Go 語言的 Struct 宣告，並加上適當的 JSON/BSON Tag。
- 發布至私有 Git 庫或 Azure Artifacts 供其他微服務 Import。",Todo,"phase-1,backend"
[BE-103]開發 JWT 身分驗證模組與 RBAC API,"[微服務: Mgmt & Auth API (Go)]實作員工登入端點 (`/api/v1/auth/login`)，發放 JWT Access Token。實作 RBAC 權限檢查 Middleware。

**驗收標準 (Acceptance Criteria):**
- 密碼必須使用 bcrypt 進行雜湊加密儲存。
- Middleware 能夠正確解析 Token 並拒絕無權限的存取 (回傳 401/403)。",Todo,"phase-1,backend"
[BE-104]部署服務至 Azure Container Apps (ACA),"[基礎設施: ACA / DevOps]捨棄昂貴的 AKS，改為撰寫 ACA Bicep 腳本或透過 Azure CLI，並在 Azure DevOps 建立 CI/CD 流水線。設定 Scale to Zero 以極小化成本。

**驗收標準 (Acceptance Criteria):**
- Git Commit 推送至 main 分支後，能自動編譯 Docker Image 推送至 ACR，並成功更新 ACA 容器。",Todo,"phase-1,backend"
[BE-105]開發揀貨單自動化產出與列印 API,"[微服務: Operations API (Go)]針對成立的訂單自動生成 PDF 或 HTML 格式的揀貨單 (Picking List)，支援批次匯出功能。

**驗收標準 (Acceptance Criteria):**
- 能根據倉庫儲位排序揀貨清單，提升店員揀貨效率。
- API 回應時間小於 500ms，產生的 PDF 需支援條碼/QR Code 掃描。",Todo,"phase-1,backend"
[FE-101]搭建 potato-control 網頁後台框架,"[前端專案: Potato-Control (Web)]使用 Vite + React + TypeScript 初始化專案。配置 Tailwind CSS，設定 React Router 與全域狀態 (Tanstack Query)。

**驗收標準 (Acceptance Criteria):**
- 成功執行 `npm run dev` 且無 TypeScript 錯誤。
- 完成基礎的左側導覽列 (Sidebar) 與頂部列 (Header) Layout 元件。",Todo,"phase-1,frontend"
[FE-102]實作登入頁面與 Token 攔截器 (Interceptor),"[前端專案: Potato-Control (Web)]實作登入表單 UI。設定 Axios/Fetch Interceptor，自動在後續 API Request 的 Header 加上 `Authorization: Bearer`。

**驗收標準 (Acceptance Criteria):**
- 輸入錯誤帳密能正確顯示來自 API 的錯誤訊息。
- 登入成功後能正確將 Token 存入 localStorage / Cookie，並跳轉至首頁。",Todo,"phase-1,frontend"
[FE-103]開發「庫存盤點」React 元件與表單,"[前端專案: Potato-Control (Web)]提供快速檢索 SKU 的 DataGrid (可搭配 Tanstack Table)，並實作單筆或批次修改庫存數量的對話框 (Dialog)。

**驗收標準 (Acceptance Criteria):**
- 能夠透過名稱或 SKU 條碼即時搜尋商品。
- 修改數量送出後，需有防呆確認視窗，並能顯示 API 成功或失敗的 Toast 提示。",Todo,"phase-1,frontend"
[FE-104]前端資源免費部署至 Azure Static Web Apps,"[基礎設施: DevOps / Frontend]設定 Azure Pipelines 將編譯後的 Vite 打包產物部署至 Azure Static Web Apps 的 Free 層級，享有零成本託管與全域快取。

**驗收標準 (Acceptance Criteria):**
- 開發團隊 Push 至 Git 後能自動發布到 dev 環境網址，且具備 SSL 憑證。",Todo,"phase-1,frontend"
[FE-105]實作 POS 機基本設定與收銀綁定 UI,"[前端專案: Potato-Control (Web & APP)]在後台與 POS APP 實作收銀機綁定設定，包含硬體周邊 (掃碼槍、出單機) 的連線設定與基礎 UI。

**驗收標準 (Acceptance Criteria):**
- 可透過藍牙或網域 IP 成功綁定熱感應印表機。
- 具備「測試列印」功能按鈕。",Todo,"phase-1,frontend"
[BE-201]開發 Commerce 領域 API (購物車與結帳),"[微服務: Commerce API (Go)]實作建立訂單、更新購物車、計算運費與稅金之 API，並處理併發下單的問題。

**驗收標準 (Acceptance Criteria):**
- API 能正確計算商品小計、稅金與折扣。
- 使用 MongoDB 的分散式 Transaction，確保扣庫存與建立訂單必須同時成功或失敗。",Todo,"phase-2,backend"
[BE-202]整合 Adyen POS 金流與 Webhook 佇列,"[微服務: Commerce API (Go) / Azure Service Bus]實作安全的 Webhook 端點以接收 Adyen 非同步付款結果，並將 Payload 直接放入 Azure Service Bus Queue。

**驗收標準 (Acceptance Criteria):**
- 能成功驗證來自 Adyen 的 HMAC 簽章，防止偽造請求。
- Webhook 請求需在 2 秒內回覆 200 OK，後續交由 Worker 從 Service Bus 取出慢慢處理，處理失敗需轉移至 Dead-Letter Queue。",Todo,"phase-2,backend"
[BE-203]實作 POS 機離線資料同步端點 (Bulk Sync API),"[微服務: Commerce API (Go)]提供批次上傳 (Bulk upload) API，讓實體店 POS 機重新連網時能一次性上傳所有未結訂單。

**驗收標準 (Acceptance Criteria):**
- API 必須支援接收 JSON Array，並以 MongoDB `insertMany` 或 `bulkWrite` 的方式寫入，避免佔用連線池。",Todo,"phase-2,backend"
[BE-204]Pisell 資料轉移 ETL 腳本開發,"[工具程式: Data-Migrator (Python / Go)]撰寫腳本將舊系統的 SQL/CSV 資料匯出，清理並轉換成符合新 MongoDB Atlas 綱要的格式後寫入。

**驗收標準 (Acceptance Criteria):**
- 會員的密碼雜湊能夠無縫轉移，確保舊會員不需強制重設密碼。
- 歷史訂單資料成功匯入，並且在前後端系統均可正確渲染。",Todo,"phase-2,backend"
[FE-201]搭建 potato-store 顧客前台網站,"[前端專案: Potato-Store (Web)]使用 Vite + React + TypeScript 框架，實作首頁、商品列表與購物車的 State Management (Zustand)。

**驗收標準 (Acceptance Criteria):**
- 購物車資料需同步儲存於 localStorage，重新整理頁面後不流失。",Todo,"phase-2,frontend"
